imdbID,Title,Year,Cast,Meter,Metacritic,AdjBoxOffice,LeadActor,Gender
tt1228705,Iron Man 2,2010,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson",72,57,340480923,Robert Downey Jr.,m
tt1951265,The Hunger Games: Mockingjay - Part 1,2014,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",65,64,338797974,Jennifer Lawrence,f
tt2293640,Minions,2015,"Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney",55,56,337292752,Sandra Bullock,f
tt0373889,Harry Potter and the Order of the Phoenix,2007,"Daniel Radcliffe, Harry Melling, Jason Boyd, Richard Macklin",79,71,335041226,Daniel Radcliffe,m
tt2015381,Guardians of the Galaxy,2014,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",91,76,334878330,Chris Pratt,m
tt0417741,Harry Potter and the Half-Blood Prince,2009,"Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Johnson",83,78,334743480,Daniel Radcliffe,m
tt1259571,The Twilight Saga: New Moon,2009,"Kristen Stewart, Christina Jastrzembska, Robert Pattinson, Billy Burke",28,44,328866897,Kristen Stewart,f
tt1325004,The Twilight Saga: Eclipse,2010,"Xavier Samuel, Kristen Stewart, Robert Pattinson, Billy Burke",49,58,327826073,Xavier Samuel,m
tt1049413,Up,2009,"Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson",98,88,324875255,Edward Asner,m
tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010,"Bill Nighy, Emma Watson, Richard Griffiths, Harry Melling",78,65,321825929,Bill Nighy,m
tt1375666,Inception,2010,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",86,74,319207684,Leonardo DiCaprio,m
tt0259446,My Big Fat Greek Wedding,2002,"Nia Vardalos, Michael Constantine, Christina Eleusiniotis, Kaylee Vieira",76,62,319163968,Nia Vardalos,f
tt0304141,Harry Potter and the Prisoner of Azkaban,2004,"Daniel Radcliffe, Richard Griffiths, Pam Ferris, Fiona Shaw",91,82,314088874,Daniel Radcliffe,m
tt0903624,The Hobbit: An Unexpected Journey,2012,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",64,58,313967649,Ian McKellen,m
tt0315327,Bruce Almighty,2003,"Jim Carrey, Morgan Freeman, Jennifer Aniston, Philip Baker Hall",48,46,313675207,Jim Carrey,m
tt1074638,Skyfall,2012,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes",93,81,310133720,Daniel Craig,m
tt1119646,The Hangover,2009,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",79,73,307467264,Bradley Cooper,m
tt0266915,Rush Hour 2,2001,"Jackie Chan, Chris Tucker, John Lone, Ziyi Zhang",52,48,303696768,Jackie Chan,m
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,2012,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",49,52,302880342,Kristen Stewart,f
